DocID,Title,Description
PSY 7124,Couples Therapy (3 units),"
The integrative trend in contemporary couples therapy: cognitive-affective, behavioural and systems interventions. The antecedents: psychoanalysis, behaviour modification, general systems theory. Related issues.
Course Component: Lecture"
PSY 7167,Family Psychotherapy (3 units),"
Socio-cultural study of the family. Psychosocial analysis of family life. Family psychotherapy: introduction, main systems and research.
Course Component: Lecture"
PSY 7190,Seminars in Psychology II (3 units),"
Selected topics on contemporary psychology presented and discussed as graduate seminars.
Course Component: Lecture"
PSY 7904,Thérapie systémique / Systemic Therapy (3 crédits / 3 units),"
Introduction aux concepts et pratiques en thérapie systémique que l'on peut utiliser avec les individus, les couples, ou les familles. Discussion du contexte des problèmes psychosociaux. Présentation des approches qui ont pour but de faciliter le choix chez les clients. / An introduction to concepts and practices in systemic therapy that may be used with individuals, couples or families. Emphasis on the context of problems and therapeutic practices enabling clients to have more choices in their lives.
Volet / Course Component: Cours magistral / Lecture"
PSY 7905,"Services psychologiques basés sur des données probantes pour enfants, adolescents, familles / Evidenced-Based Psychological Services for Children, Adolescents, Families (3 crédits / 3 units)","
Éléments clés des services psychologiques basés sur des données probantes pour une gamme de problèmes chez les enfants et les adolescents. L'établissement d'une relation thérapeutique avec les enfants, les adolescents et leurs parents. / Core skills in the provision of evidence-based psychological services for a range of psychological problems in children and youth. The therapeutic relationship with children, adolescents, and their parents.
Volet / Course Component: Cours magistral / Lecture"
PSY 7906,Seminar General Psychology / Seminar General Psychology (3 crédits / 3 units),"
Les sujets de recherche sont présentés et discutés à dates fixes par les membres du personnel enseignant, et occasionnellement avec la participation d'un chercheur invité. / Research topics are regularly reported and studied by staff members and occasionally with visiting researchers.
Volet / Course Component: Cours magistral / Lecture"
PSY 7907,Psychologie de la famille / Psychology of the Family (3 crédits / 3 units),"
Présentation de la recherche empirique qui porte sur l'adaptation des familles aux transitions, à partir de la perspective du cycle de vie familiale, avec discussion des défis auxquels font face les familles. / Examination of the empirical literature on how families deal with normative and non-normative life transitions across the family life cycle, with discussion of major challenges facing families.
Volet / Course Component: Cours magistral / Lecture"
PSY 7908,Psychologie clinique multiculturelle / Multicultural Clinical Psychology (3 crédits / 3 units),"
Étude de questions relatives à l'évaluation et au counselling de populations multiculturelles. Aspects théoriques et appliqués du counselling multiculturel. / Issues related to the assessment and treatment of multicultural populations. Theoretical frameworks and practical aspects of multicultural counselling.
Volet / Course Component: Cours magistral / Lecture"
PSY 7909,Effets et traitement psychologiques du traumatisme / Psychological Effects and Treatment of Trauma (3 crédits / 3 units),"
Étude des aspects théoriques, empiriques, et cliniques du traumatisme, tel que l'abus physique ou sexuel, le crime violent, la torture, et les expériences de guerre. Les effets de tels traumatismes (ex. le « post-traumatic stress disorder »), l'évaluation de ces effets, et les approches thérapeutiques. / Theoretical, empirical, and clinical aspects of traumas such as sexual or physical abuse, violent crime, torture, or war experiences. Effects of trauma, including post- traumatic stress disorder, the assessments of such effects, and methods of treatment.
Volet / Course Component: Cours magistral / Lecture"
PSY 7914,Séminaires en psychologie professionnelle / Seminars in Professional Psychology (3 crédits / 3 units),
PSY 7916,Lectures dirigées en psychologie I / Directed Readings in Psychology I (3 crédits / 3 units),"
Lectures dirigées sur des thèmes choisis en psychologie. / Directed readings on selected topics in Pyschology.
Volet / Course Component: Recherche / Research"
PSY 7923,Thérapies comportementales et cognitives / Cognitive and Behaviour Therapies (3 crédits / 3 units),
PSY 7967,Psychothérapie familiale / Family psychotherapy (3 crédits / 3 units),
PSY 7990,Séminaires en psychologie II / Séminaires en psychologie II (3 crédits / 3 units),
PSY 8916,Lectures dirigées en psychologie II / Directed Readings in Psychology II (3 crédits / 3 units),"
Lectures dirigées sur des thèmes choisis en psychologie (le thème doit être différent de celui traité dans le cours PSY 7916). / Directed readings on selected topics in Psychology (topic must be different from that of PSY 7916).
Volet / Course Component: Cours magistral / Lecture"
MAT 1300,Mathematical Methods I (3 units),"
Review of elementary functions.  Limits.  Geometric series. Differential and integral calculus in one variable with applications. Functions of several variables.  Partial derivatives.
Course Component: Discussion Group, Lecture"
MAT 1302,Mathematical Methods II (3 units),"
Solution of systems of linear equations. Matrix algebra. Determinants. Complex numbers, fundamental theorem of algebra. Eigenvalues and eigenvectors of real matrices. Introduction to vector spaces, linear independence, bases. Applications. This course is intended primarily for students in the School of Management and the Faculty of Social Sciences.
Course Component: Discussion Group, Lecture"
MAT 1303,Mathematical Methods III (3 units),"
Sequences, series, power series, Taylor series.  Difference equations: the general solution of linear equations with constant coefficients. Additional techniques of integration. Improper integrals. Chain rule for functions of several variables. Gradient, Directional derivative, tangent plane. Partial derivatives of higher order. Extreme with or without constraints.
Course Component: Lecture"
MAT 1308,Introduction to Calculus (3 units),"
Review of elementary functions. Introduction to Limits. Geometric series. Introduction to differential and integral calculus in one variable with applications. Linear approximations, applications to optimization.  Students who have previously studied the derivative and differentiation rules should take MAT 1300 instead. This course is reserved primarily for students in the Faculties of Arts and Social Sciences. Students who have taken MCV4U, MAT1339 or an equivalent are strongly encouraged to register for MAT1300 instead.
Course Component: Discussion Group, Lecture"
MAT 1318,Functions (3 units),"
Polynomial and rational functions: factoring, the remainder theorem, families of polynomials with specified zeros, odd and even polynomial functions. Logarithms and exponentials to various bases, their laws. Trigonometric functions: radian measure, values of primary trigonometric ratios, compound angle formulae, trigonometric identities. Solving equations and inequalities involving absolute values, polynomial, rational, logarithmic, exponential and trigonometric functions. Their graphs.  Operations on functions: point-wise addition and multiplication, composition; inverse functions. Average and instantaneous rate of change, approximating instantaneous rate of change, secants and tangents to graphs. Applications to graphing and finding maxima and minima of functions. Using functions to model, interpolate, and extrapolate data.   MAT1318 may be taken for upgrading purposes as an admission requirement. In all cases, credits for this course do not count as part of any program requirements. S/NS grading scheme.
Course Component: Lecture"
MAT 1320,Calculus I (3 units),"
Intuitive definition of limits; continuity, statement of intermediate value theorem.  Quick review of basic derivative formulas: products, chain rule, exponentials, and trigonometric functions. Derivatives of quotients, logarithms, inverse trigonometric functions. Finite difference approximations of derivatives. Analysis of functions via the first and the second derivatives; statements of extreme and mean value theorems.  L'Hospital's rule. Implicit differentiation, related rates, optimization, linear approximation, Newton s method. The definite integral and the fundamental theorem of calculus. Antiderivatives of elementary functions, techniques of integration (integration by parts, substitutions, partial fractions).  Numerical integration: mid-point, trapezoidal rule and Simpson's rule; error analysis.
Course Component: Discussion Group, Lecture"
MAT 1322,Calculus II (3 units),"
Improper integrals.  Applications of the integral.  Separable differential equations.  Euler's method for differential equations. Sequences, series.  Taylor's formula and series.  Functions of two and three variables.  Partial derivatives, the chain rule, directional derivatives, tangent planes and normal lines.
Course Component: Discussion Group, Lecture"
MAT 1325,Calculus II and an Introduction to Analysis (3 units),"
A second course in calculus emphasizing geometric and physical intuition in which attention is also given to the conceptual foundations of calculus-analysis. Review of inequalities. Sequences. Completeness axiom of the real numbers. Continuity.  Proofs of some of: the intermediate and extreme value theorems, the mean value theorem. Taylor's theorem. Standard curves and surfaces in 2 and 3-space. Tangent vectors, planes and normals. Partial derivatives, directional derivatives, derivatives as linear maps.
Course Component: Lecture, Discussion Group"
MAT 1330,Calculus for the Life Sciences I (3 units),"
Derivatives: product and quotient rules, chain rule, derivative of exponential, logarithm and basic trigonometric functions, higher derivatives, curve sketching. Applications of the derivative to life sciences. Discrete dynamical systems: equilibrium points, stability, cobwebbing. Integrals: indefinite and definite integrals, fundamental theorem of calculus, antiderivatives, substitution, integration by parts. Applications of the integral to life sciences.
Course Component: Discussion Group, Lecture"
MAT 1332,Calculus for the Life Sciences II (3 units),"
Integrals: numerical integration; improper integrals. Introduction to differential equations: some techniques to solve simple differential equations, numerical solution of differential equations and models in the life sciences using differential equations. Introduction to linear algebra: matrices and matrix algebra, determinants, eigenvalues and eigenvectors (in two or three dimensions). Functions of several variables: graphical representations, partial derivatives. Systems of differential equations: equilibrium points, stability, phase portrait and global analysis.
Course Component: Discussion Group, Lecture"
MAT 1339,Introduction to Calculus and Vectors (3 units),"
Instantaneous rate of change as a limit, derivatives of polynomials using limits, derivatives of sums, products, the chain rule, derivatives of rational, trigonometric, exponential, logarithmic, and radical functions. Applications to finding maxima and minima and graph sketching. Concavity and points of inflection, the second derivative. Optimization in models involving polynomial, rational, and exponential functions. Vectors in two and three dimensions. Cartesian, polar and geometric forms. Algebraic operations on vectors, dot product, cross product. Applications to projections, area of parallelograms, volume of parallelepipeds. Scalar and vector parametric form of equations of lines and planes in two and three dimensions. Intersections of lines and planes.  Solution of up to three equations in three unknowns by elimination or substitution. Geometric interpretation of the solutions. Prerequisite: Ontario 4U Functions (MHF4U) or MAT1318 or equivalent. The courses MAT1339, Ontario 4U Calculus and Vectors (MCV4U) or any equivalent cannot be combined for credits. MAT1339 may be taken for upgrading purposes or as an admission requirement In all cases, credits for this course do not count as part of any program requirements. S/NS grading scheme.
Course Component: Discussion Group, Lecture"
MAT 1341,Introduction to Linear Algebra (3 units),"
Review of complex numbers. The fundamental theorem of algebra. Review of vector and scalar products, projections. Introduction to vector spaces, linear independence, bases; function spaces. Solution of systems of linear equations, matrix algebra, determinants, eigenvalues and eigenvectors. Gram Schmidt,  orthogonal projections. Linear transformations, kernel and image, their standard matrices. Applications (e.g. geometry, networks, differential equations)
Course Component: Discussion Group, Lecture"
MAT 1348,Discrete Mathematics for Computing (3 units),"
Introduction to discrete structures as a foundation to computing. Propositional logic. Fundamental structures: functions, relations, sets. The basics of counting: counting arguments, the pigeonhole principle, permutations and combinations.  Introduction to proofs: direct, by contradiction, by cases, induction. Topics in graph theory: isomorphism, cycles, trees, directed graphs.  Whenever possible applications from computing and information technology will be included.
Course Component: Discussion Group, Lecture"
MAT 1362,Mathematical Reasoning and Proofs (3 units),"
Elements of logic, set theory, functions, equivalence relations and cardinality. Proof techniques. Concepts are introduced using sets of integers, integers modulo n, rational, real and complex numbers. Exploration of the real line: completeness, supremum, sequences and limits. Some of the concepts will be illustrated with examples from geometry, algebra and number theory.
Course Component: Discussion Group, Lecture"
MAT 1371,Descriptive Statistics (3 units),"
Topics from descriptive statistics: histograms and boxplot; average and observed standard deviation;  elementary probability; normal distribution; statistical estimation and hypothesis testing; correlation and regression. Examples analyzed with statistical software.
Course Component: Discussion Group, Lecture"
MAT 1372,Elements of Probability and Statistical Inference (3 units),"
Probability distributions. Law of large numbers and the central limit theorem. Sampling. Applications of probability. Testing with the normal, t and chi-square distributions. Correlation and regression.
Course Component: Laboratory, Lecture"
MAT 1373,Data Analysis By Computer (3 units),"
Introduction to a statistical package on a  computer. Descriptive statistics and data analysis by computer. The distributions and applications of standard parametric and nonparametric tests are investigated using the simulation function of a statistical package.
Course Component: Lecture"
MAT 1374,Probability and Games of Chance: Poker 101 (3 units),"
An introduction to elementary probability theory, game theory, and the mathematical underpinning of games of chance, demonstrated through their applications to poker games such as Texas Hold'em.  Societal aspects of gaming.
Course Component: Lecture"
MAT 1395,The Beauty of Mathematics (3 units),"
Selected topics from modern and ancient mathematics. Course content varies from year to year. Chosen themes may include, but are not limited to: classical geometry, number theory, chaos theory and mathematics for elementary school teachers.  See the Department of Mathematics and Statistics for the current year's offering.
Course Component: Lecture"
MAT 2122,Multivariable Calculus (3 units),"
Derivatives as linear maps, the chain rule. The Clairaut-Schwarz theorem. Taylor's theorem. Implicit function theorem. Extrema, critical points. Lagrange multipliers. Double and triple integrals, Fubini's theorem, polar, spherical and cylindrical coordinates. Change of variables. Line integrals, Green's theorem. Parametric surfaces and surface integrals. Curl and Stokes's theorem, existence of potentials. Divergence and Gauss's theorem. Applications.
Course Component: Discussion Group, Lecture"
MAT 2125,Elementary Real Analysis (3 units),"
Review of the completeness properties of real numbers. Supremum and infimum, lim sup, lim inf. The topology of R¢n.  Uniform continuity. Compactness, Heine-Borel.  The Riemann integral, the fundamental theorem of calculus, improper integrals. Sequences and series of functions, uniform convergence. Fourier series.
Course Component: Discussion Group, Lecture"
MAT 2141,Honours Linear Algebra (3 units),"
Vector spaces, direct sums and complement of subspaces, linear maps, representation of linear maps by matrices, dual spaces, transpose mappings, multilinear mappings, determinants, inner products, orthogonal projections, the Gram-Schmidt algorithm. Eigenvalues and eigenvectors, diagonalization of symmetric matrices. The emphasis of this course is on proving all results.
Course Component: Discussion Group, Lecture"
MAT 2143,Introduction to Group Theory (3 units),"
Groups: Arithmetic modulo n, permutations, cyclic groups. Cosets and Lagrange’s theorem.  Normal subgroups, homomorphisms, quotient groups, isomorphism theorems. Direct products and the structure theorem of finitely generated abelian groups.
Course Component: Discussion Group, Lecture"
MAT 2322,Calculus III for Engineers (3 units),"
Extrema of functions of several variables.  Multiple integration and applications.  Vector fields and their derivatives.  Curves.  Vector differential operators.  Line integrals.  Surfaces and surface integrals.  Theorems of Stokes, Gauss, etc.
Course Component: Lecture"
MAT 2324,Ordinary Differential Equations and the Laplace Transform (3 units),"
General concepts.  First order equations.  Linear differential equations of higher order.  Differential operators.  Laplace transforms.  Systems of differential equations.  Series solutions about ordinary points.
Course Component: Lecture"
MAT 2342,Introduction to Applied Linear Algebra (3 units),"
Review of vector spaces and matrix algebra, inner products, Gram-Schmidt, orthogonal projections. Eigenvalues and eigenvectors, diagonalization of symmetric matrices. Singular value decomposition.  Applications to linear discrete dynamical systems, minimization of quadratic forms and least squares approximation, principal component analysis. Other applications chosen from: linear programming, duality and the simplex method; introduction to finite fields and coding theory.
Course Component: Lecture"
MAT 2348,Discrete Mathematics (3 units),"
Quick review of: sets, functions, relations, induction, basic counting techniques. An in-depth treatment of recurrence relations, generating functions, and principle of inclusion-exclusion. Aspects of graph theory.
Course Component: Lecture"
MAT 2355,Introduction to Geometry (3 units),"
Euclidean and non-Euclidean geometries; affine geometry, projective geometry. Transformations and transformation groups.
Course Component: Lecture"
MAT 2362,Foundations of Mathematics (3 units),"
Introduction to proofs, set theory and the foundations of mathematics.  Propositional logic, introduction to predicate logic and axiomatic theories. Proof techniques (direct, by contradiction, by cases, constructive and non constructive, induction).  Informal set theory (sets, functions, equivalence relations, order relations). Paradoxes. Introduction to axiomatic set theory and to the encoding of mathematics. Axiom of Choice, Zorn's Lemma.  Cardinality of sets.
Course Component: Discussion Group, Lecture"
MAT 2371,Introduction to Probability (3 units),"
Probability axioms and their consequences. Conditional probability and independence. Random variables, distributions and densities, moments, sampling distributions. Weak law of large numbers, sums of independent random variables, moment generating functions, convergence concepts, the central limit theorem.
Course Component: Lecture"
MAT 2375,Introduction to Statistics (3 units),"
Theory of statistical inference; point and interval estimation, tests of hypotheses. Inferences about normal models.  Introduction to nonparametric methods.
Course Component: Lecture"
MAT 2377,Probability and Statistics for Engineers (3 units),"
A concise survey of: combinatorial analysis; probability and random variables; discrete and continuous densities and distribution functions; expectation and variance; normal (Gaussian), binomial and Poisson distributions; statistical estimation and hypothesis testing; method of least squares, correlation and regression. The emphasis is on statistics and quality control methods for engineers.
Course Component: Lecture"
MAT 2379,Introduction to Biostatistics (3 units),"
Descriptive statistics using a software package. A concise survey of probability. The normal distribution. The central limit theorem and statistical estimation illustrated via simulation. Hypothesis testing, the design of experiments, paired sampling, categorical data and regression.  Examples from the biosciences analyzed with statistical software.
Course Component: Lecture"
MAT 2384,Ordinary Differential Equations and Numerical Methods (3 units),"
General concepts. First order equations. Linear differential equations of higher order. Differential operators. Laplace transforms. Systems of differential equations. Series solutions about ordinary points. Numerical methods including error analysis; numerical differentiation, integration and solutions of differential equations.
Course Component: Lecture"
MAT 3100,History of Mathematics I (3 units),"
Survey of the main lines of the mathematical development from the Babylonians, Egyptians and Greeks to modern times.
Course Component: Lecture"
MAT 3101,History of Mathematics II (3 units),"
Historical development of mathematics as seen through a few central themes such as counting, space, randomness, approximation, the infinitely small, or algebraic abstraction.
Course Component: Lecture"
MAT 3120,Real Analysis (3 units),"
Metric spaces, continuous functions. Compactness and connectedness. Contraction mappings. The inverse function theorem and the implicit function theorem. Series of functions; modes of convergence, power series, Fourier series. Topics on function spaces such as: Weierstrass approximation, L¢2 spaces.
Course Component: Lecture"
MAT 3121,Complex Analysis I (3 units),"
Complex numbers.  Analytic functions.  Integration, Laurent series, residue calculus.  Conformal mappings.
Course Component: Lecture"
MAT 3130,Introduction to Dynamical Systems (3 units),"
Systems of linear differential equations. Introduction to nonlinear systems; existence and uniqueness theorems, flow, stability of equilibria, invariant manifolds, periodic orbits, planar flows.
Course Component: Lecture"
MAT 3143,Rings and Modules (3 units),"
Rings and ideals, homomorphisms and isomorphism theorems, principal ideal domains and factorial rings, polynomial rings and the construction of finite fields. Modules, direct sums and annihilators of modules, free modules, classification of modules over a PID.
Course Component: Lecture"
MAT 3153,Introduction to Topology (3 units),"
Sets, functions, countability. Topology of the real line and of Euclidean space, compactness and connectedness, continuous functions. An introduction to algebraic methods in topology: homotopies and the winding number of curves in the plane, the index of a vector field in the plane, or the classification of surfaces.
Course Component: Lecture"
MAT 3155,Introd to Differential Geomet. (3 units),"
Introduction to elementary Riemannian geometry, applications to curves and surfaces, special topics chosen from geometry and physics.
Course Component: Lecture"
MAT 3166,Introduction to Number Theory (3 units),"
Topics chosen from: Farey sequence, Fermat-Euler-Wilson theorems, power residues and primitive roots, Diophantine equations, continued fractions, algebraic and transcendental numbers, arithmetic functions, distribution of primes.
Course Component: Lecture"
MAT 3172,Foundations of Probability (3 units),"
An overview of probability from a non-measure theoretic point of view. Random vectors; independence, conditional expectation and probability, consequences.  Various types of convergence leading to proofs of the major theorems in classical probability theory. An introduction to simple stochastic processes such as Poisson and branching processes.
Course Component: Lecture"
MAT 3320,Mathematics for Engineers (3 units),"
Series solutions of ordinary differential equations. Legendre and Bessel functions. Sturm-Liouville problems, orthogonal functions. Fourier series.  Partial differential equations:  introduction and applications.
Course Component: Lecture"
MAT 3341,Applied Linear Algebra (3 units),"
Vector and matrix norms. Schur canonical form, QR, LU, Cholesky and singular value decomposition, generalized inverses, Jordan form, Cayley-Hamilton theorem, matrix analysis and exponentials of matrices, eigenvalue estimation and the Gershgorin Circle Theorem; quadratic forms, Rayleigh and minima principles. This course includes proofs and applications of computational methods.
Course Component: Lecture"
MAT 3343,Applied Algebra (3 units),"
Groups and finite fields; binary codes: Hamming and BCH codes; other topics in applied algebra.
Course Component: Lecture"
MAT 3348,Applied Discrete Mathematics (3 units),"
Trees and applications, applications of graphs, networks and flows, matching theory, introduction to linear programming.
Course Component: Lecture"
MAT 3361,Introd to Mathematical Logic (3 units),"
Formal approaches to propositional and predicate logic.  Syntax and Semantics. Formal proof systems. Completeness and compactness. Formal theories and their models. Topics chosen from: logics in computer science, foundations of mathematics, set theory, computability theory.
Course Component: Lecture"
MAT 3373,Methods of Machine Learning (3 units),"
Multivariate linear and polynomial regression, logistic regression, k-nearest neighbours. Regularization methods, Bayesian inference, naïve Bayes classification. Cross-validation, bootstrap. Tree-based methods. Principal component analysis. Clustering.
Course Component: Lecture"
MAT 3375,Regression Analysis (3 units),"
Distribution theory, hypothesis testing and estimation for simple, multiple and non-linear regression. Generalized linear models, logistic and Poisson regression. Analysis of data using statistical software packages.
Course Component: Lecture"
MAT 3377,Sampling and Surveys (3 units),"
An introduction to the design and analysis of surveys. Simple random, stratified, proportional, post-stratified, cluster, and multi-stage sampling. Examples and complete theoretical development.  Analysis of data using statistical software packages.
Course Component: Lecture"
MAT 3378,Analysis of Experimental Designs (3 units),"
Distribution theory for experimental designs.  Experimental designs: Completely randomized, complete and incomplete block designs, Latin squares, split-plot, fractional, factorial and response surface designs.  Sample size and power determination.  Simultaneous inference.  Variance component models.  Analysis of data using statistical software packages.
Course Component: Lecture"
MAT 3379,Introduction to Time Series Analysis (3 units),"
Time domain methods: detrending, autoregressive moving average (ARMA) models, non stationarity and seasonality, state space methodology. Frequency domain methods: lagged regression, deterministic input and random coefficient models. Examples of financial time series. Time series data will be analyzed using software packages.
Course Component: Lecture"
MAT 3380,Introduction to Numerical Methods (3 units),"
Roots of nonlinear equations (fixed point, Newton, secant, bisection). Condition number of linear systems. Iterative methods for linear and non-linear systems (Gauss-Seidel, Gauss-Jacobi, SOR; fixed point, Newton) . Interpolation and polynomial approximation, numerical differentiation and integration. Numerical methods for differential equations. Error analysis.
Course Component: Lecture"
MAT 3395,Introduction to Mathematical Models (3 units),"
Introduction to modelling and to mathematical techniques used in applications. Mathematical models will come from various areas of applied sciences and use techniques from calculus, differential equations, linear algebra and vector geometry.
Course Component: Lecture"
MAT 4124,Introduction to Functional Analysis (3 units),"
Introduction to Banach and with emphasis on Hilbert spaces.  Fourier series and Fourier transforms.  Linear operators on Hilbert spaces. Introduction to spectral theory. Selected topics among: Compact operators, unbounded operators, etc.
Course Component: Lecture"
MAT 4125,Measure and Integration I (3 units),"
General measure and integral, Lebesgue measure and integration on R, Fubini's theorem, Lebesgue-Radon-Nikodym theorem, absolute continuity and differentiation, Lp-spaces.
Course Component: Lecture"
MAT 4126,Measure and Integration II (3 units),"
Banach and Hilbert spaces, bounded linear operators, dual spaces, some additional topics.
Course Component: Lecture"
MAT 4130,Introduction to Partial Differential Equations (3 units),"
Modelling with partial differential equations (PDEs), elementary PDEs and the method of separation of variables, classification of PDEs, linear first order PDEs and method of characteristics, maximum principles for elliptic equations and classical solution of the Laplace equation, Green's functions, variational methods. Heat and wave equations.
Course Component: Lecture"
MAT 4141,Rings and Modules II (3 units),"
Noetherian and artinian modules and rings.    Algebraic sets, vanishing ideals, Hilbert Basis Theorem, radical ideals, Hilbert Nullstellensatz.  Localization of rings and modules.  Tensor product of modules and algebras.  Semisimple rings and modules, Schur’s lemma, Jacobson Density Theorem, Artin-Wedderburn Theorem.  Short exact sequences, free modules, projective modules, injective modules, flat modules.
Course Component: Lecture"
MAT 4142,Introduction to Lie Algebras (3 units),"
Structure of solvable, nilpotent and semisimple finite dimensional Lie algebras.
Course Component: Lecture"
MAT 4143,Groups and Galois Theory (3 units),"
Group actions, class equation, Sylow theorems, central, composition and derived series, Jordan-Holder theorem, field extensions and minimal polynomials, algebraic closure, separable extensions, integral ring extensions, Galois groups, fundamental theorem of Galois theory, finite fields, cyclotomic field extensions, fundamental theorem of algebra, transcendental extensions.
Course Component: Lecture"
MAT 4144,Introduction to Lie Groups (3 units),"
Linear groups: the exponential map, Lie correspondence. Homomorphisms and coverings.  Closed subgroups.  Classical groups: Cartan subgroups, fundamental groups.  Manifolds.  Homogeneous spaces. General Lie groups.
Course Component: Lecture"
MAT 4153,General Topology (3 units),"
Topological spaces, product and identification topologies, countability and separation axioms, compactness, metrisation.
Course Component: Lecture"
MAT 4154,Introduction to Algebraic Geometry (3 units),"
Brief overview of commutative algebra, Hilbert's Nullstellensatz, algebraic sets, and Zariski topology. Affine and projective varieties over algebraically closed fields. Regular functions and rational maps. Additional topics chosen from: the relation of varieties over complex numbers to complex analytic manifolds, genus, divisors, line bundles, Riemann-Roch Theorem, Bézout's Theorem.
Course Component: Lecture"
MAT 4155,Elementary Manifold Theory (3 units),"
Manifolds, differentiable structures, tangent space, vector fields, differential forms, tensor fields, Riemannian metric.
Course Component: Lecture"
MAT 4157,Algebraic Topology I (3 units),"
Covering spaces, homology via the Eilenberg-Steenrod axioms, applications, construction of a homology functor.
Course Component: Lecture"
MAT 4158,Algebraic Topology II (3 units),"
Topics in algebraic topology.
Course Component: Lecture"
MAT 4162,Topics in Mathematical Logic (3 units),"
Selected topics, such as: model theory, non-standard analysis, the theory of recursive functions, advanced set theory, philosophy of mathematics.
Course Component: Lecture"
MAT 4167,Topics in Number Theory (3 units),"
Topics from analytic number theory, algebraic number theory, Diophantine approximation, modular forms or arithmetic geometry.
Course Component: Lecture"
MAT 4170,Probability Theory I (3 units),"
Probability spaces, random variables, expected values as integrals, joint distributions, independence and product measures, cumulative distribution functions and extension of probability measures, Borel-Cantelli lemmas, convergence concepts, independent and identically distributed sequences of random variables.
Course Component: Lecture"
MAT 4171,Probability Theory II (3 units),"
Laws of large numbers, characteristic functions, central limit theorem, conditional probability and expectation, some additional topics.
Course Component: Lecture"
MAT 4175,Introduction to Mathematical Statistics (3 units),"
Limit theorems. Sampling distributions. Parametric estimation. Concepts of sufficiency and efficiency. Neyman-Pearson paradigm, likelihood ratio tests. Parametric and non-parametric methods for two- sample comparisons. Notions of experimental design, categorical data analysis, the general linear model, decision theory and Bayesian inference. Previously MAT 3175.
Course Component: Lecture"
MAT 4183,Tensor Analysis and Application (3 units),"
Tensor analysis with applications to Riemannian geometry and relativity theory.
Course Component: Lecture"
MAT 4199,Special Topics in Mathematics (3 units),"
Selected advanced topics.
Course Component: Lecture"
MAT 4343,Representation Theory (3 units),"
Representation theory of groups and algebras: characters, irreducible representations, induced representations, intertwining operators.
Course Component: Lecture"
MAT 4348,Graph Theory (3 units),"
Paths and cycles, trees, connectivity, Euler tours and Hamilton cycles, edge colouring, independent sets and cliques, vertex colouring, planar graphs, directed graphs.
Course Component: Lecture"
MAT 4349,Combinatorial Theory (3 units),"
Principle of inclusion -- exclusion, generating functions and partitions of the integers, Polya's theory of counting, latin squares, Steiner triple systems, block designs, finite geometries, posets and lattices.
Course Component: Lecture"
MAT 4371,Applied Probability (3 units),"
An introduction to stochastic processes, with emphasis on Markov processes. Review of basic probability, limit theorems and conditioning. The Poisson process. Limit theorems for regenerative processes. Discrete-time and continuous-time Markov processes. Hidden Markov processes on finite state spaces.  Applications chosen from signal processing, queuing theory, economics, finance and actuarial sciences.
Course Component: Lecture"
MAT 4372,Financial Mathematics (3 units),"
Review of conditional expectation and an introduction to martingales, stopping times and the Snell envelope. Interest rate and present value, discrete time option pricing. Review of the multivariate normal with applications to Markovitz portfolio theory. An introduction to Brownian motion and the Black-Scholes formula for European options.
Course Component: Lecture"
MAT 4373,Statistical Machine Learning (3 units),"
Discriminant analysis, principal component analysis, support vector machines; reproducing kernel Hilbert spaces and kernel methods; neural networks; VC Theory; PAC learning. Additional topics may include: Bayesian modelling, manifold learning, boosting.
Course Component: Lecture"
MAT 4374,Modern Computational Statistics (3 units),"
Simulation including the rejection method and importance sampling; applications to Monte Carlo Markov chains. Resampling methods such as the bootstrap and jackknife, with applications. Smoothing methods in curve estimation.
Course Component: Lecture"
MAT 4375,Multivariate Statistical Methods (3 units),"
Multivariate normal distribution: properties, estimation, testing. Topics chosen from multivariate regression, analysis of variance and covariance, linear discriminant analysis, component and factor analysis, canonical correlation. Analysis of data using statistical software packages.
Course Component: Lecture"
MAT 4376,Topics in Statistics (3 units),"
Selected topics in statistics.
Course Component: Lecture"
MAT 4377,Topics in Applied Probability (3 units),"
Topics in probability theory.
Course Component: Lecture"
MAT 4378,Categorical Data Analysis in Biostatistics (3 units),"
Multi-way contingency tables. Generalized linear models for binary and count data. Logistic regression; inference and model verification. Log-linear and logit models for multiway frequency tables. Applications drawn from life sciences. Statistical computer packages will be used in the course.
Course Component: Lecture"
MAT 4387,Optimization: Theory and Practice (3 units),"
Optimization problems, nonlinear programming, unconstrained optimization, convexity and coercivity, existence theory, gradient and Newton methods constrained optimization, gradient method with projection, Kuhn-Tucker relations, duality, Uzawa method. Linear programming, simplex method.
Course Component: Lecture"
MAT 4399,Special Topics in Mathematics (3 units),"
Selected advanced topics.
Course Component: Lecture"
MAT 4900,Projet de recherche de premier cycle / Undergraduate Research Project (3 crédits / 3 units),"
L'étudiant(e) réalisera un projet de recherche d'un semestre sous la supervision d'un ou plusieurs membres du département.  Létudiant(e)  écrira un rapport sur sa recherche et présentera un séminaire sur le sujet de son projet et sa contribution.  Ce cours est conçu pour l'étudiant(e) intéressé(e) à poursuivre des études supérieures. / The student will undertake a one-semester project carried out under the supervision of one or more faculty members in the department.  The student will write a report and present a seminar on some aspect of the research and his/her participation.  This course is intended for students interested in pursuing graduate studies.
Volet / Course Component: Cours magistral / Lecture"
